*** SIMULATED BIN SIZE PROBABILITIES ***
Number of fragments: 279352791
Fragment length: 10
Number of clusters: 5
Number of bins: 9765625
Average bin size: 28.61
Clusters: STAN#ILVM#KRDEQ#WFYH#GPC

Cluster probabilities
  0      1      2      3      4    
0.2496 0.2426 0.2617 0.1090 0.1371 

    k     P(X=k) log P(X=k)        Pav    log Pav
  282 7.1688e-04 -7.2406e+00 0.0000e+00 -3.9565e+02
  283 7.1394e-04 -7.2447e+00 0.0000e+00 -3.9794e+02
  284 7.1039e-04 -7.2497e+00 0.0000e+00 -4.0023e+02
  285 7.0623e-04 -7.2556e+00 0.0000e+00 -4.0253e+02
  286 7.0150e-04 -7.2623e+00 0.0000e+00 -4.0484e+02
  287 6.9620e-04 -7.2699e+00 0.0000e+00 -4.0714e+02
  288 6.9035e-04 -7.2783e+00 0.0000e+00 -4.0945e+02
  289 6.8398e-04 -7.2876e+00 0.0000e+00 -4.1176e+02
  290 6.7710e-04 -7.2977e+00 0.0000e+00 -4.1408e+02
  291 6.6974e-04 -7.3086e+00 0.0000e+00 -4.1640e+02
  292 6.6192e-04 -7.3204e+00 0.0000e+00 -4.1872e+02
  293 6.5365e-04 -7.3329e+00 0.0000e+00 -4.2105e+02
  294 6.4498e-04 -7.3463e+00 0.0000e+00 -4.2338e+02
  295 6.3591e-04 -7.3605e+00 0.0000e+00 -4.2571e+02
  296 6.2647e-04 -7.3754e+00 0.0000e+00 -4.2805e+02
  297 6.1669e-04 -7.3911e+00 0.0000e+00 -4.3039e+02
  298 6.0660e-04 -7.4076e+00 0.0000e+00 -4.3273e+02
  299 5.9621e-04 -7.4249e+00 0.0000e+00 -4.3508e+02
  300 5.8554e-04 -7.4430e+00 0.0000e+00 -4.3743e+02
  301 5.7464e-04 -7.4618e+00 0.0000e+00 -4.3978e+02
  302 5.6351e-04 -7.4813e+00 0.0000e+00 -4.4214e+02
  303 5.5219e-04 -7.5016e+00 0.0000e+00 -4.4450e+02
  304 5.4070e-04 -7.5226e+00 0.0000e+00 -4.4686e+02
  305 5.2906e-04 -7.5444e+00 0.0000e+00 -4.4923e+02
  306 5.1729e-04 -7.5669e+00 0.0000e+00 -4.5160e+02
  307 5.0542e-04 -7.5901e+00 0.0000e+00 -4.5397e+02
  308 4.9346e-04 -7.6141e+00 0.0000e+00 -4.5635e+02
  309 4.8145e-04 -7.6387e+00 0.0000e+00 -4.5873e+02
  310 4.6940e-04 -7.6641e+00 0.0000e+00 -4.6111e+02
  311 4.5733e-04 -7.6901e+00 0.0000e+00 -4.6350e+02
  312 4.4526e-04 -7.7169e+00 0.0000e+00 -4.6589e+02
  313 4.3320e-04 -7.7443e+00 0.0000e+00 -4.6828e+02
  314 4.2119e-04 -7.7724e+00 0.0000e+00 -4.7068e+02
  315 4.0923e-04 -7.8012e+00 0.0000e+00 -4.7308e+02
  316 3.9734e-04 -7.8307e+00 0.0000e+00 -4.7548e+02
  317 3.8554e-04 -7.8609e+00 0.0000e+00 -4.7788e+02
  318 3.7383e-04 -7.8917e+00 0.0000e+00 -4.8029e+02
  319 3.6224e-04 -7.9232e+00 0.0000e+00 -4.8270e+02
  320 3.5078e-04 -7.9553e+00 0.0000e+00 -4.8512e+02
  321 3.3946e-04 -7.9881e+00 0.0000e+00 -4.8754e+02
  322 3.2829e-04 -8.0216e+00 0.0000e+00 -4.8996e+02
  323 3.1729e-04 -8.0557e+00 0.0000e+00 -4.9238e+02
  324 3.0645e-04 -8.0905e+00 0.0000e+00 -4.9481e+02
  325 2.9580e-04 -8.1258e+00 0.0000e+00 -4.9724e+02
  326 2.8533e-04 -8.1619e+00 0.0000e+00 -4.9967e+02
  327 2.7506e-04 -8.1985e+00 0.0000e+00 -5.0211e+02
  328 2.6499e-04 -8.2358e+00 0.0000e+00 -5.0455e+02
  329 2.5513e-04 -8.2737e+00 0.0000e+00 -5.0699e+02
  330 2.4549e-04 -8.3123e+00 0.0000e+00 -5.0943e+02
  331 2.3606e-04 -8.3514e+00 0.0000e+00 -5.1188e+02
  332 2.2686e-04 -8.3912e+00 0.0000e+00 -5.1433e+02
  333 2.1788e-04 -8.4316e+00 0.0000e+00 -5.1679e+02
  334 2.0913e-04 -8.4726e+00 0.0000e+00 -5.1925e+02
  335 2.0061e-04 -8.5141e+00 0.0000e+00 -5.2171e+02
  336 1.9232e-04 -8.5564e+00 0.0000e+00 -5.2417e+02
  337 1.8426e-04 -8.5992e+00 0.0000e+00 -5.2664e+02
  338 1.7643e-04 -8.6426e+00 0.0000e+00 -5.2911e+02
  339 1.6884e-04 -8.6866e+00 0.0000e+00 -5.3158e+02
  340 1.6148e-04 -8.7312e+00 0.0000e+00 -5.3405e+02
  341 1.5434e-04 -8.7763e+00 0.0000e+00 -5.3653e+02
  342 1.4744e-04 -8.8221e+00 0.0000e+00 -5.3901e+02
  343 1.4076e-04 -8.8685e+00 0.0000e+00 -5.4150e+02
  344 1.3430e-04 -8.9154e+00 0.0000e+00 -5.4399e+02
  345 1.2807e-04 -8.9629e+00 0.0000e+00 -5.4648e+02
  346 1.2205e-04 -9.0110e+00 0.0000e+00 -5.4897e+02
  347 1.1625e-04 -9.0597e+00 0.0000e+00 -5.5146e+02
  348 1.1067e-04 -9.1090e+00 0.0000e+00 -5.5396e+02
  349 1.0529e-04 -9.1588e+00 0.0000e+00 -5.5646e+02
  350 1.0011e-04 -9.2092e+00 0.0000e+00 -5.5897e+02
  351 9.5136e-05 -9.2602e+00 0.0000e+00 -5.6148e+02
  352 9.0356e-05 -9.3118e+00 0.0000e+00 -5.6399e+02
  353 8.5768e-05 -9.3639e+00 0.0000e+00 -5.6650e+02
  354 8.1367e-05 -9.4165e+00 0.0000e+00 -5.6901e+02
  355 7.7147e-05 -9.4698e+00 0.0000e+00 -5.7153e+02
  356 7.3106e-05 -9.5236e+00 0.0000e+00 -5.7405e+02
  357 6.9237e-05 -9.5780e+00 0.0000e+00 -5.7658e+02
